kpId,category,subtype,word,explanation,example,source,dse12
tj_001,通假字,,于,通「於」，意為「在」,戰于長勺,曹劌論戰（12篇外）,False
tj_002,通假字,,知,通「智」，意為「智慧」,孰為汝多知乎,兩小兒辯日（12篇外）,False
tj_003,通假字,,見,通「現」，意為「出現、顯露」,圖窮而匕首見,荊軻刺秦王（12篇外）,False
gj_001,古今異義,,妻子,古義：妻及子女；今義：配偶(女方),率妻子邑人來此絕境,桃花源記（12篇外）,False
gj_002,古今異義,,親戚,古義：父母兄弟等至親；今義：泛指姻親血親,寡助之至，親戚畔之,孟子·得道多助（12篇外）,False
gj_003,古今異義,,犧牲,古義：祭祀用的牲畜；今義：為某目的捨棄性命或利益,犧牲玉帛，弗敢加也,曹劌論戰（12篇外）,False
gj_004,古今異義,,卑鄙,古義：身分低微、見識淺薄；今義：品行惡劣,先帝不以臣卑鄙,出師表,True
gj_005,古今異義,,感激,古義：感動奮發；今義：感謝,由是感激，遂許先帝以驅馳,出師表,True
cy_001,詞類活用,名詞作動詞,雨,名詞「雨」活用為動詞「下雨」,天雨牆壞,智子疑鄰（12篇外）,False
cy_002,詞類活用,名詞作動詞,軍,名詞「軍」活用為動詞「駐軍」,沛公軍霸上,鴻門宴（12篇外）,False
cy_003,詞類活用,使動用法,活,使動用法，「使……活」,項伯殺人，臣活之,鴻門宴（12篇外）,False
cy_004,詞類活用,使動用法,先/後,方位詞使動，「使……在先/在後」,先天下之憂而憂，後天下之樂而樂,岳陽樓記,True
cy_005,詞類活用,意動用法,異,意動用法，「認為……奇異」,漁人甚異之,桃花源記（12篇外）,False
cy_006,詞類活用,意動用法,師,意動/名詞作動詞，「以……為師」,吾從而師之,師說,True
sx_001,句式,判斷句,,「……者，……也」句式表判斷,廉頗者，趙之良將也,廉頗藺相如列傳,True
sx_002,句式,判斷句,,「……也」句末助詞表判斷，可省略「者」,魚，我所欲也,魚我所欲也,True
sx_003,句式,被動句,,「見」表被動,欲予秦，秦城恐不可得，徒見欺,廉頗藺相如列傳,True
sx_004,句式,被動句,,「於」引出動作發出者，表被動,而智勇多困於所溺,六國論,True
sx_005,句式,省略句,,省略主語,（廉頗）為趙將，伐齊，大破之,廉頗藺相如列傳,True
sx_006,句式,倒裝句-賓語前置,,疑問代詞作賓語前置,微斯人，吾誰與歸,岳陽樓記,True
sx_007,句式,倒裝句-賓語前置,,否定句中代詞賓語前置,時人莫之許也,廉頗藺相如列傳（類近句式，12篇外例）,False
sx_008,句式,倒裝句-狀語後置,,介詞短語作狀語後置於動詞後,覆之以掌，虛若無物,促織（12篇外）,False
sx_009,句式,倒裝句-定語後置,,「之」字結構將定語後置,馬之千里者，一食或盡粟一石,馬說（12篇外）,False
