questionId,type,kpId,textId,question,options,answer,xp
gq001,choice,kp_yueyang_001,yueyanglou,『謫守巴陵郡』中『謫』的意思是？,提拔|貶官|辭官|調任,貶官,8
gq002,choice,kp_yueyang_001,yueyanglou,下列哪個解釋最接近『謫守』中的『謫』？,被貶職|被賞賜|主動辭職|升任京官,被貶職,8
gq003,fill,kp_yueyang_004,yueyanglou,先天下之憂而憂，____________。,,後天下之樂而樂,10
gq004,choice,kp_yueyang_004,yueyanglou,『先天下之憂而憂，後天下之樂而樂』最能表現哪種精神？,以天下為己任|及時行樂|歸隱避世|追求名利,以天下為己任,8
gq005,choice,kp_virtual_zhi,CROSS,『輟耕之壟上』中『之』的用法是？,代詞|結構助詞|動詞（往／到）|語氣詞,動詞（往／到）,8
gq006,choice,kp_virtual_zhi,CROSS,『三里之城』中『之』的用法是？,代詞|結構助詞（的）|動詞（往）|賓語前置標誌,結構助詞（的）,8
gq007,choice,kp_virtual_zhi,CROSS,『公與之乘』中『之』的用法是？,代詞|結構助詞|動詞|語氣詞,代詞,8
gq008,choice,kp_virtual_er,CROSS,『人不知而不慍』中『而』表示甚麼關係？,並列|轉折|順承|因果,轉折,8
gq009,choice,kp_virtual_er,CROSS,『舍魚而取熊掌』中『而』表示甚麼關係？,轉折|順承|假設|因果,順承,8
gq010,choice,kp_virtual_er,CROSS,下列哪一句中的『而』最明顯表示轉折？,人不知而不慍|舍魚而取熊掌|蟹六跂而二螯|學而時習之,人不知而不慍,8
gq011,choice,kp_virtual_yi,CROSS,『不以物喜，不以己悲』中『以』的意思是？,因為|用|把|來,因為,8
gq012,choice,kp_virtual_yi,CROSS,『以叢草為林』中『以』的用法最接近？,因為|把／將|用來|認為,把／將,8
gq013,choice,kp_virtual_yi,CROSS,下列哪一句中的『以』表示原因？,不以物喜|以叢草為林|以刀劈狼首|屬予作文以記之,不以物喜,8
gq014,choice,kp_virtual_yu,CROSS,『生於憂患』中『於』最接近哪個意思？,在／從|比|被|對於,在／從,8
gq015,choice,kp_virtual_yu,CROSS,『青，取之於藍，而青於藍』後一個『於』表示？,在|比|被|從,比,8
gq016,choice,kp_virtual_yu,CROSS,下列哪一句中的『於』表示比較？,青於藍|生於憂患|告之於帝|困於心,青於藍,8
gq017,choice,kp_virtual_qi,CROSS,『其鄉人曰』中的『其』主要用作？,代詞|連詞|動詞|語氣詞,代詞,8
gq018,choice,kp_virtual_qi,CROSS,『其真無馬邪？其真不知馬也』中的前一個『其』主要帶有甚麼語氣？,反問／推測|肯定|命令|感嘆,反問／推測,8
gq019,choice,kp_virtual_ze,CROSS,『學而不思則罔』中『則』的意思最接近？,就／便|卻|如果|只有,就／便,8
gq020,choice,kp_virtual_ze,CROSS,『入則無法家拂士』中的『則』在語境中較接近？,如果／若|於是|卻|只有,如果／若,8
gq021,choice,gj_004,chushibiao,『先帝不以臣卑鄙』中『卑鄙』的古義是？,品德惡劣|身分低微而見識淺薄|說話粗俗|行為自私,身分低微而見識淺薄,8
gq022,choice,gj_004,chushibiao,下列哪個最能說明古今『卑鄙』詞義的差異？,古義指身分與見識；今義多指品行惡劣|古今意思完全相同|古義指富貴；今義指貧窮|古義指勇敢；今義指膽小,古義指身分與見識；今義多指品行惡劣,8
gq023,choice,gj_005,chushibiao,『由是感激，遂許先帝以驅馳』中『感激』的古義是？,感謝他人|感動奮發|激動流淚|深感遺憾,感動奮發,8
gq024,choice,gj_005,chushibiao,下列哪個現代詞最接近文言『感激』在『由是感激』中的意思？,感奮|感謝|感恩|感傷,感奮,8
gq025,choice,cy_004,yueyanglou,『先天下之憂而憂，後天下之樂而樂』中的『先』『後』在句中有何特點？,使動／意動色彩的活用|純粹名詞|通假字|被動用法,使動／意動色彩的活用,8
gq026,choice,cy_004,yueyanglou,『先天下之憂而憂』中的『先』最接近哪個意思？,在天下人之前|使天下人先憂|先離開天下|第一個天下,在天下人之前,8
gq027,choice,cy_006,CROSS,『吾從而師之』中的『師』應理解為？,老師|以……為師|軍隊|教導,以……為師,8
gq028,choice,cy_006,CROSS,『吾從而師之』中的『師』屬於哪類詞類活用？,意動用法|使動用法|名詞作狀語|通假字,意動用法,8
gq029,choice,sx_001,CROSS,『廉頗者，趙之良將也』屬於哪種句式？,判斷句|被動句|省略句|倒裝句,判斷句,8
gq030,choice,sx_001,CROSS,文言文中『……者，……也』常用來表示哪種關係？,判斷|被動|疑問|倒裝,判斷,8
gq031,choice,sx_003,CROSS,『秦城恐不可得，徒見欺』中的『見』有何作用？,表被動|表看見|表比較|表推測,表被動,8
gq032,choice,sx_003,CROSS,下列哪一句最能判斷為『見』字表被動？,徒見欺|圖窮而匕首見|風吹草低見牛羊|曹劌請見,徒見欺,8
gq033,choice,sx_004,CROSS,『而智勇多困於所溺』中『於』在句式上有何作用？,引出動作施行者並表被動|表示比較|表示地點|表示時間,引出動作施行者並表被動,8
gq034,choice,sx_004,CROSS,『困於所溺』最適合歸入哪一類句式？,被動句|判斷句|省略句|賓語前置句,被動句,8
gq035,choice,sx_005,CROSS,『（廉頗）為趙將，伐齊，大破之』主要涉及哪種句式現象？,省略主語|賓語前置|被動|判斷,省略主語,8
gq036,choice,sx_005,CROSS,文言文中上下文已明確時省去主語，這種現象稱為？,省略句|判斷句|倒裝句|被動句,省略句,8
gq037,choice,sx_006,yueyanglou,『微斯人，吾誰與歸』中的『吾誰與歸』屬於？,賓語前置|定語後置|狀語後置|被動句,賓語前置,8
